,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,manufacturing_year,mileage(kmpl),engine(cc),max_power(bhp),torque(Nm),price(in lakhs)
0,Mercedes-Benz S-Class,17,Comprehensive,Petrol,5,56000,First Owner,Automatic,2017,7,2996,2996.0,333.0,63.75
1,Nissan Magnite,21,Comprehensive,Petrol,5,30615,First Owner,Automatic,2020,17,999,999.0,9863.0,8.99
2,BMW X1,18,Comprehensive,Diesel,5,24000,First Owner,Automatic,2018,20,1995,1995.0,188.0,23.75
3,Kia Seltos,19,Comprehensive,Petrol,5,18378,First Owner,Manual,2019,16,1353,1353.0,13808.0,13.56
4,Skoda Superb,19,Comprehensive,Petrol,5,44900,First Owner,Automatic,2019,14,1798,1798.0,17746.0,24.0
5,Honda Jazz,17,Third Party insurance,Petrol,5,42000,First Owner,Manual,2017,18,1199,1199.0,887.0,5.45
6,Hyundai Grand,19,Comprehensive,Petrol,5,36739,First Owner,Manual,2018,18,1197,1197.0,8186.0,5.12
7,Hyundai Creta,18,Comprehensive,Petrol,5,76000,First Owner,Manual,2018,15,1591,1591.0,1213.0,9.3
8,Mercedes-Benz S-Class,15,Comprehensive,Diesel,5,68000,Second Owner,Automatic,2015,13,2987,2987.0,25479.0,42.0
9,Tata Nexon,19,Comprehensive,Petrol,5,28783,First Owner,Manual,2019,17,1198,1198.0,1085.0,8.02
10,Honda City,20,Comprehensive,Petrol,5,40000,First Owner,Automatic,2020,17,1497,1497.0,1176.0,10.95
11,Renault Duster,22,Comprehensive,Petrol,5,17382,First Owner,Manual,2021,16,1498,1498.0,10455.0,8.99
12,BMW 3,,Third Party insurance,Diesel,5,120000,First Owner,Automatic,2014,18,1995,1995.0,184.0,7.45
13,Hyundai Venue,22,Comprehensive,Petrol,5,17000,First Owner,Automatic,2021,18,998,998.0,11835.0,10.95
14,Hyundai Grand,19,Comprehensive,Petrol,5,26867,First Owner,Manual,2019,18,1197,1197.0,8186.0,5.78
15,Hyundai i20,22,Third Party insurance,Petrol,5,30000,First Owner,Manual,2022,21,1197,1197.0,8180.0,8.95
16,BMW 3,,Third Party insurance,Diesel,5,150000,First Owner,Automatic,2014,18,1995,1995.0,184.0,8.5
17,BMW 3,18,Comprehensive,Diesel,5,53000,First Owner,Automatic,2018,22,1995,1995.0,190.0,23.5
18,Ford Ecosport,19,Comprehensive,Petrol,5,40000,First Owner,Manual,2019,17,1497,1497.0,12136.0,7.95
19,Jeep Compass,20,Comprehensive,Petrol,5,48000,First Owner,Automatic,2020,14,1368,1368.0,16077.0,18.95
20,MG Gloster,21,Comprehensive,Diesel,6,35000,First Owner,Automatic,2021,12,1996,1996.0,21501.0,35.0
21,Maruti Swift,10,Comprehensive,Petrol,5,100525,First Owner,Manual,2010,16,1197,1197.0,85.0,2.09
22,Honda City,15,Third Party insurance,Petrol,5,83000,Second Owner,Automatic,2015,18,1497,1497.0,1173.0,6.25
23,Maruti Wagon,11,Comprehensive,Petrol,5,40191,Second Owner,Manual,2011,998,671,671.0,90.0,2.12
24,Audi A6,15,Comprehensive,Diesel,5,62152,First Owner,Automatic,2015,18,1968,1968.0,18774.0,20.0
25,Hyundai Creta,17,Third Party insurance,Petrol,5,49000,First Owner,Manual,2017,15,1591,1591.0,1213.0,8.35
26,Maruti Baleno,17,Comprehensive,Petrol,5,56215,First Owner,Manual,2017,21,1197,1197.0,831.0,5.03
27,Toyota Yaris,18,Comprehensive,Petrol,5,53000,First Owner,Manual,2018,17,1496,1496.0,10594.0,6.95
28,Toyota Fortuner,15,Comprehensive,Diesel,7,100000,First Owner,Automatic,2015,12,2982,2982.0,1685.0,16.0
29,Hyundai Creta,20,Comprehensive,Petrol,5,36346,First Owner,Automatic,2020,16,1353,1353.0,13808.0,15.22
30,Jaguar XE,18,Comprehensive,Diesel,5,48000,First Owner,Automatic,2018,13,1999,1999.0,177.0,26.95
31,Hyundai i20,19,Comprehensive,Petrol,5,42098,First Owner,Manual,2019,18,1197,1197.0,8186.0,6.7
32,Jeep Compass,,Third Party insurance,Diesel,5,40000,First Owner,Manual,2018,17,1956,1956.0,170.0,10.75
33,BMW X1,19,Comprehensive,Diesel,5,64000,First Owner,Automatic,2019,20,1995,1995.0,188.0,25.5
34,Maruti Swift,22,Comprehensive,Petrol,5,13158,First Owner,Automatic,2022,22,1197,1197.0,8850.0,8.38
35,Hyundai Creta,18,Third Party insurance,Diesel,5,65400,First Owner,Automatic,2018,17,1582,1582.0,1262.0,10.9
36,Honda Amaze,,Third Party insurance,Petrol,5,100000,First Owner,Manual,2017,17,1198,1198.0,867.0,3.95
37,Tata Tiago,22,Comprehensive,CNG,5,30000,First Owner,Manual,2022,26,1199,1199.0,72.0,7.25
38,Honda Jazz,17,Comprehensive,Diesel,5,62000,First Owner,Manual,2017,1498,986,986.0,200.0,4.75
39,Volkswagen Beetle,10,Comprehensive,Petrol,4,40000,First Owner,Automatic,2010,10,1984,1984.0,1144.0,11.95
40,MG Gloster,21,Comprehensive,Diesel,6,35000,First Owner,Automatic,2021,12,1996,1996.0,21501.0,35.0
41,Maruti Swift,10,Comprehensive,Petrol,5,100525,First Owner,Manual,2010,16,1197,1197.0,85.0,2.09
42,Honda City,15,Third Party insurance,Petrol,5,83000,Second Owner,Automatic,2015,18,1497,1497.0,1173.0,6.25
43,Maruti Wagon,11,Comprehensive,Petrol,5,40191,Second Owner,Manual,2011,998,671,671.0,90.0,2.12
44,Audi A6,15,Comprehensive,Diesel,5,62152,First Owner,Automatic,2015,18,1968,1968.0,18774.0,20.0
45,Hyundai Creta,17,Third Party insurance,Petrol,5,49000,First Owner,Manual,2017,15,1591,1591.0,1213.0,8.35
46,Maruti Baleno,17,Comprehensive,Petrol,5,56215,First Owner,Manual,2017,21,1197,1197.0,831.0,5.03
47,Toyota Yaris,18,Comprehensive,Petrol,5,53000,First Owner,Manual,2018,17,1496,1496.0,10594.0,6.95
48,Toyota Fortuner,15,Comprehensive,Diesel,7,100000,First Owner,Automatic,2015,12,2982,2982.0,1685.0,16.0
49,Hyundai Creta,20,Comprehensive,Petrol,5,36346,First Owner,Automatic,2020,16,1353,1353.0,13808.0,15.22
50,Jaguar XE,18,Comprehensive,Diesel,5,48000,First Owner,Automatic,2018,13,1999,1999.0,177.0,26.95
51,Hyundai i20,19,Comprehensive,Petrol,5,42098,First Owner,Manual,2019,18,1197,1197.0,8186.0,6.7
52,Jeep Compass,,Third Party insurance,Diesel,5,40000,First Owner,Manual,2018,17,1956,1956.0,170.0,10.75
53,BMW X1,19,Comprehensive,Diesel,5,64000,First Owner,Automatic,2019,20,1995,1995.0,188.0,25.5
54,Maruti Swift,22,Comprehensive,Petrol,5,13158,First Owner,Automatic,2022,22,1197,1197.0,8850.0,8.38
55,Hyundai Creta,18,Third Party insurance,Diesel,5,65400,First Owner,Automatic,2018,17,1582,1582.0,1262.0,10.9
56,Honda Amaze,,Third Party insurance,Petrol,5,100000,First Owner,Manual,2017,17,1198,1198.0,867.0,3.95
57,Tata Tiago,22,Comprehensive,CNG,5,30000,First Owner,Manual,2022,26,1199,1199.0,72.0,7.25
58,Honda Jazz,17,Comprehensive,Diesel,5,62000,First Owner,Manual,2017,1498,986,986.0,200.0,4.75
59,Volkswagen Beetle,10,Comprehensive,Petrol,4,40000,First Owner,Automatic,2010,10,1984,1984.0,1144.0,11.95
60,Honda City,23,Comprehensive,Petrol,5,10280,First Owner,Automatic,2023,18,1498,1498.0,11935.0,16.0
61,Maruti Baleno,15,Comprehensive,Petrol,5,17282,First Owner,Manual,2015,21,1197,1197.0,831.0,5.45
62,Honda CR-V,19,Third Party insurance,Petrol,5,30500,First Owner,Automatic,2019,14,1997,1997.0,15189.0,22.95
63,Kia Seltos,20,Comprehensive,Diesel,5,60755,First Owner,Manual,2020,20,1493,1493.0,11343.0,13.51
64,Mercedes-Benz C-Class,21,Comprehensive,Petrol,5,25000,Second Owner,Automatic,2021,11,1950,1950.0,20115.0,40.75
65,Mahindra Scorpio,18,Comprehensive,Diesel,7,47000,First Owner,Manual,2018,15,2179,2179.0,13678.0,14.5
66,Kia Seltos,20,Comprehensive,Petrol,5,59316,First Owner,Automatic,2020,16,1353,1353.0,138.0,13.99
67,Toyota Yaris,21,Comprehensive,Petrol,5,48000,Third Owner,Manual,2021,17,1496,1496.0,1055.0,6.95
68,BMW 5,23,Zero Dep,Petrol,5,20000,First Owner,Automatic,2023,14,1998,1998.0,24808.0,65.0
69,Renault KWID,20,Third Party insurance,Petrol,5,12503,First Owner,Automatic,2020,22,999,999.0,67.0,5.15
70,Jeep Compass,21,Comprehensive,Petrol,5,10000,First Owner,Manual,2021,14,1368,1368.0,16077.0,15.95
71,Maruti Swift,11,Comprehensive,Petrol,5,73717,Second Owner,Manual,2011,16,1197,1197.0,85.0,2.41
72,Mercedes-Benz GL-Class,,Third Party insurance,Diesel,7,90000,Second Owner,Automatic,2016,11,2987,2987.0,2548.0,32.5
73,Honda Jazz,17,Comprehensive,Petrol,5,17000,First Owner,Automatic,2017,17,1199,1199.0,8850.0,5.95
74,Hyundai Grand,14,Comprehensive,Petrol,5,36047,First Owner,Automatic,2014,18,1197,1197.0,82.0,4.32
75,Maruti Wagon,18,Comprehensive,CNG,5,45000,First Owner,Manual,2018,998,5833,5833.0,78.0,4.45
76,Maruti Swift,,Third Party insurance,Diesel,5,100000,First Owner,Manual,2009,19,1248,1248.0,739.0,2.0
77,Hyundai i10,16,Comprehensive,Petrol,5,50000,Second Owner,Manual,2016,20,1197,1197.0,789.0,3.45
78,Maruti Swift,18,Comprehensive,Petrol,5,51000,First Owner,Manual,2018,22,1197,1197.0,8180.0,5.5
79,Mahindra XUV500,18,Third Party,Diesel,7,62000,Second Owner,Manual,2018,2179,15287,15287.0,360.0,8.5
80,Honda City,23,Comprehensive,Petrol,5,10280,First Owner,Automatic,2023,18,1498,1498.0,11935.0,16.0
81,Maruti Baleno,15,Comprehensive,Petrol,5,17282,First Owner,Manual,2015,21,1197,1197.0,831.0,5.45
82,Honda CR-V,19,Third Party insurance,Petrol,5,30500,First Owner,Automatic,2019,14,1997,1997.0,15189.0,22.95
83,Kia Seltos,20,Comprehensive,Diesel,5,60755,First Owner,Manual,2020,20,1493,1493.0,11343.0,13.51
84,Mercedes-Benz C-Class,21,Comprehensive,Petrol,5,25000,Second Owner,Automatic,2021,11,1950,1950.0,20115.0,40.75
85,Mahindra Scorpio,18,Comprehensive,Diesel,7,47000,First Owner,Manual,2018,15,2179,2179.0,13678.0,14.5
86,Kia Seltos,20,Comprehensive,Petrol,5,59316,First Owner,Automatic,2020,16,1353,1353.0,138.0,13.99
87,Toyota Yaris,21,Comprehensive,Petrol,5,48000,Third Owner,Manual,2021,17,1496,1496.0,1055.0,6.95
88,BMW 5,23,Zero Dep,Petrol,5,20000,First Owner,Automatic,2023,14,1998,1998.0,24808.0,65.0
89,Renault KWID,20,Third Party insurance,Petrol,5,12503,First Owner,Automatic,2020,22,999,999.0,67.0,5.15
90,Jeep Compass,21,Comprehensive,Petrol,5,10000,First Owner,Manual,2021,14,1368,1368.0,16077.0,15.95
91,Maruti Swift,11,Comprehensive,Petrol,5,73717,Second Owner,Manual,2011,16,1197,1197.0,85.0,2.41
92,Mercedes-Benz GL-Class,,Third Party insurance,Diesel,7,90000,Second Owner,Automatic,2016,11,2987,2987.0,2548.0,32.5
93,Honda Jazz,17,Comprehensive,Petrol,5,17000,First Owner,Automatic,2017,17,1199,1199.0,8850.0,5.95
94,Hyundai Grand,14,Comprehensive,Petrol,5,36047,First Owner,Automatic,2014,18,1197,1197.0,82.0,4.32
95,Maruti Wagon,18,Comprehensive,CNG,5,45000,First Owner,Manual,2018,998,5833,5833.0,78.0,4.45
96,Maruti Swift,,Third Party insurance,Diesel,5,100000,First Owner,Manual,2009,19,1248,1248.0,739.0,2.0
97,Hyundai i10,16,Comprehensive,Petrol,5,50000,Second Owner,Manual,2016,20,1197,1197.0,789.0,3.45
98,Maruti Swift,18,Comprehensive,Petrol,5,51000,First Owner,Manual,2018,22,1197,1197.0,8180.0,5.5
99,Mahindra XUV500,18,Third Party,Diesel,7,62000,Second Owner,Manual,2018,2179,15287,15287.0,360.0,8.5
100,Toyota Camry,17,Third Party insurance,Petrol,5,45000,First Owner,Automatic,2017,19,2494,2494.0,1577.0,22.5
101,Hyundai i20,21,Comprehensive,Petrol,5,17041,First Owner,Automatic,2021,20,998,998.0,11841.0,10.49
102,Mahindra XUV500,18,Comprehensive,Diesel,7,49000,First Owner,Manual,2018,16,1997,1997.0,140.0,9.25
103,Hyundai Venue,20,Comprehensive,Petrol,5,23588,First Owner,Manual,2020,18,998,998.0,11835.0,9.2
104,Mercedes-Benz CLA,18,Comprehensive,Diesel,5,50000,Second Owner,Automatic,2018,17,2143,2143.0,1341.0,22.0
105,Toyota Innova,17,Third Party insurance,Diesel,7,76000,First Owner,Automatic,2017,11,2755,2755.0,1715.0,14.75
106,Maruti Baleno,19,Comprehensive,Petrol,5,49341,First Owner,Manual,2019,21,1197,1197.0,8180.0,5.76
107,Honda Amaze,13,Comprehensive,Petrol,5,56000,First Owner,Manual,2013,18,1198,1198.0,867.0,3.25
108,MG Hector,23,Comprehensive,Petrol,6,12000,First Owner,Automatic,2023,12,1451,1451.0,141.0,21.0
109,Honda City,14,Comprehensive,Petrol,5,51734,First Owner,Manual,2014,17,1497,1497.0,1173.0,5.72
110,Maruti Swift,18,Third Party insurance,Petrol,5,22000,First Owner,Manual,2018,22,1197,1197.0,8180.0,5.75
111,Hyundai Creta,18,Comprehensive,Diesel,5,45084,First Owner,Manual,2018,20,1582,1582.0,1262.0,9.22
112,Mahindra Scorpio,,Third Party insurance,Diesel,7,20000,First Owner,Automatic,2015,15,2179,2179.0,120.0,11.0
113,Honda Amaze,16,Comprehensive,Petrol,5,29000,First Owner,Manual,2016,17,1198,1198.0,867.0,4.8
114,Hyundai Venue,22,Comprehensive,Petrol,5,16763,First Owner,Manual,2021,18,998,998.0,11835.0,9.69
115,Tata Altroz,22,Third Party insurance,Petrol,5,6000,First Owner,Manual,2022,19,1199,1199.0,8683.0,6.95
116,BMW 7,,Third Party insurance,Diesel,5,60000,2993 cc,2017,Power Steering,2993,26149,26149.0,620.0,55.0
117,Mahindra XUV500,15,Comprehensive,Diesel,7,86000,First Owner,Manual,2015,15,2179,2179.0,140.0,5.45
118,Honda Jazz,18,Comprehensive,Petrol,5,24000,First Owner,Automatic,2018,17,1199,1199.0,8850.0,6.55
119,Hyundai Venue,21,Comprehensive,Petrol,5,9000,First Owner,Manual,2021,20,1197,1197.0,8180.0,7.75
120,Toyota Camry,17,Third Party insurance,Petrol,5,45000,First Owner,Automatic,2017,19,2494,2494.0,1577.0,22.5
121,Hyundai i20,21,Comprehensive,Petrol,5,17041,First Owner,Automatic,2021,20,998,998.0,11841.0,10.49
122,Mahindra XUV500,18,Comprehensive,Diesel,7,49000,First Owner,Manual,2018,16,1997,1997.0,140.0,9.25
123,Hyundai Venue,20,Comprehensive,Petrol,5,23588,First Owner,Manual,2020,18,998,998.0,11835.0,9.2
124,Mercedes-Benz CLA,18,Comprehensive,Diesel,5,50000,Second Owner,Automatic,2018,17,2143,2143.0,1341.0,22.0
125,Toyota Innova,17,Third Party insurance,Diesel,7,76000,First Owner,Automatic,2017,11,2755,2755.0,1715.0,14.75
126,Maruti Baleno,19,Comprehensive,Petrol,5,49341,First Owner,Manual,2019,21,1197,1197.0,8180.0,5.76
127,Honda Amaze,13,Comprehensive,Petrol,5,56000,First Owner,Manual,2013,18,1198,1198.0,867.0,3.25
128,MG Hector,23,Comprehensive,Petrol,6,12000,First Owner,Automatic,2023,12,1451,1451.0,141.0,21.0
129,Honda City,14,Comprehensive,Petrol,5,51734,First Owner,Manual,2014,17,1497,1497.0,1173.0,5.72
130,Maruti Swift,18,Third Party insurance,Petrol,5,22000,First Owner,Manual,2018,22,1197,1197.0,8180.0,5.75
131,Hyundai Creta,18,Comprehensive,Diesel,5,45084,First Owner,Manual,2018,20,1582,1582.0,1262.0,9.22
132,Mahindra Scorpio,,Third Party insurance,Diesel,7,20000,First Owner,Automatic,2015,15,2179,2179.0,120.0,11.0
133,Honda Amaze,16,Comprehensive,Petrol,5,29000,First Owner,Manual,2016,17,1198,1198.0,867.0,4.8
134,Hyundai Venue,22,Comprehensive,Petrol,5,16763,First Owner,Manual,2021,18,998,998.0,11835.0,9.69
135,Tata Altroz,22,Third Party insurance,Petrol,5,6000,First Owner,Manual,2022,19,1199,1199.0,8683.0,6.95
136,BMW 7,,Third Party insurance,Diesel,5,60000,2993 cc,2017,Power Steering,2993,26149,26149.0,620.0,55.0
137,Mahindra XUV500,15,Comprehensive,Diesel,7,86000,First Owner,Manual,2015,15,2179,2179.0,140.0,5.45
138,Honda Jazz,18,Comprehensive,Petrol,5,24000,First Owner,Automatic,2018,17,1199,1199.0,8850.0,6.55
139,Hyundai Venue,21,Comprehensive,Petrol,5,9000,First Owner,Manual,2021,20,1197,1197.0,8180.0,7.75
140,Kia Carens,22,Comprehensive,Petrol,7,14900,First Owner,Automatic,2022,16,1353,1353.0,13805.0,16.5
141,Hyundai i20,22,Comprehensive,Petrol,5,17172,Second Owner,Automatic,2022,20,998,998.0,11841.0,10.33
142,Mercedes-Benz GLE,20,Zero Dep,Diesel,5,33000,First Owner,Automatic,2020,1950,24138,24138.0,500.0,78.0
143,Renault KWID,16,Third Party insurance,Petrol,5,38000,Second Owner,Manual,2016,25,799,799.0,533.0,1.85
144,Tata Altroz,23,Comprehensive,Petrol,5,11501,First Owner,Manual,2022,19,1199,1199.0,8683.0,8.24
145,Mercedes-Benz GLE,22,Zero Dep,Diesel,5,43703,First Owner,Automatic,2022,1950,24138,24138.0,500.0,82.9
146,Toyota Fortuner,21,Comprehensive,Diesel,7,29800,First Owner,Automatic,2021,2755,20115,20115.0,500.0,44.0
147,Maruti Baleno,20,Comprehensive,Petrol,5,22051,First Owner,Manual,2020,21,1197,1197.0,8180.0,6.98
148,Maruti Baleno,21,Comprehensive,Petrol,5,32965,First Owner,Manual,2021,1197,8180,8180.0,113.0,5.75
149,Hyundai i10,14,Comprehensive,Petrol,5,96593,First Owner,Manual,2014,1086,6805,6805.0,9904.0,2.73
150,Hyundai Verna,,Third Party insurance,Petrol,5,50000,First Owner,Manual,2017,17,1591,1591.0,1213.0,6.75
151,BMW 2,22,Comprehensive,Petrol,5,15000,First Owner,Automatic,2022,14,1998,1998.0,18908.0,42.0
152,Tata Tiago,20,Comprehensive,Petrol,5,27138,First Owner,Manual,2020,19,1199,1199.0,8482.0,5.92
153,Maruti Baleno,22,Comprehensive,Petrol,5,15000,First Owner,Manual,2022,21,1197,1197.0,831.0,7.25
154,Mercedes-Benz CLS-Class,,Third Party insurance,Diesel,4,10000,First Owner,Automatic,2018,19,2143,2143.0,204.0,38.0
155,Mahindra Scorpio,23,Comprehensive,Petrol,7,9000,First Owner,Automatic,2023,1997,200,200.0,380.0,23.45
156,Kia Sonet,21,Comprehensive,Petrol,5,10000,First Owner,Manual,2021,18,998,998.0,11836.0,10.2
157,Kia Seltos,20,Comprehensive,Diesel,5,70000,First Owner,Automatic,2020,18,1493,1493.0,11343.0,14.95
158,Mercedes-Benz C-Class,20,Comprehensive,Diesel,5,30000,First Owner,Automatic,2020,12,1950,1950.0,194.0,37.5
159,Hyundai i20,22,Comprehensive,Petrol,5,16684,First Owner,Automatic,2021,20,998,998.0,11841.0,11.11
160,Mercedes-Benz AMG,19,Comprehensive,Petrol,5,30000,First Owner,Automatic,2019,2996,38487,38487.0,520.0,67.0
161,Maruti Swift,12,Comprehensive,Petrol,5,92543,First Owner,Manual,2012,1197,8180,8180.0,113.0,2.74
162,Mahindra XUV700,21,Comprehensive,Petrol,7,25000,First Owner,Automatic,2021,1999,19713,19713.0,380.0,24.75
163,Ford Ecosport,16,Comprehensive,Diesel,5,59870,First Owner,Manual,2016,21,1498,1498.0,9896.0,4.95
164,Hyundai i20,16,Comprehensive,Petrol,5,62700,First Owner,Manual,2016,18,1197,1197.0,8183.0,5.22
165,Kia Seltos,19,Third Party insurance,Diesel,5,42132,First Owner,Automatic,2019,17,1493,1493.0,1134.0,14.75
166,Mercedes-Benz CLA,18,Third Party insurance,Petrol,5,32000,First Owner,Automatic,2018,15,1991,1991.0,183.0,25.75
167,Maruti A-Star,10,Comprehensive,Petrol,5,58873,First Owner,Manual,2010,19,998,998.0,661.0,1.82
168,Renault Duster,18,Comprehensive,Petrol,5,10000,First Owner,Automatic,2018,14,1498,1498.0,1045.0,7.95
169,Tata Altroz,23,Comprehensive,Petrol,5,14069,First Owner,Manual,2022,19,1199,1199.0,8683.0,8.24
170,Nissan Terrano,,Third Party insurance,Diesel,5,100000,1461 cc,2014,Power Steering,1461,1085,1085.0,248.0,6.0
171,Renault Duster,14,Third Party insurance,Diesel,5,80000,First Owner,Manual,2014,19,1461,1461.0,10845.0,2.85
172,Honda City,16,Comprehensive,Petrol,5,57453,First Owner,Manual,2016,17,1497,1497.0,1173.0,6.24
173,Ford Figo,11,Comprehensive,Petrol,5,66717,Second Owner,Manual,2011,1196,70,70.0,102.0,70000.0
174,Mercedes-Benz GLS,,Third Party insurance,Diesel,7,40000,Second Owner,Automatic,2016,11,2987,2987.0,258.0,43.33
175,Volvo XC40,22,Zero Dep,Petrol,5,16433,First Owner,Automatic,2022,1969,18740,18740.0,300.0,43.75
176,BMW X1,18,Third Party insurance,Petrol,5,17860,First Owner,Automatic,2018,15,1998,1998.0,189.0,29.9
177,Toyota Innova,20,Comprehensive,Diesel,7,52000,First Owner,Automatic,2020,11,2755,2755.0,1715.0,22.5
178,Mercedes-Benz C-Class,20,Comprehensive,Diesel,5,30000,First Owner,Automatic,2020,12,1950,1950.0,194.0,37.5
179,Hyundai i20,22,Comprehensive,Petrol,5,16684,First Owner,Automatic,2021,20,998,998.0,11841.0,11.11
180,Mercedes-Benz AMG,19,Comprehensive,Petrol,5,30000,First Owner,Automatic,2019,2996,38487,38487.0,520.0,67.0
181,Maruti Swift,12,Comprehensive,Petrol,5,92543,First Owner,Manual,2012,1197,8180,8180.0,113.0,2.74
182,Mahindra XUV700,21,Comprehensive,Petrol,7,25000,First Owner,Automatic,2021,1999,19713,19713.0,380.0,24.75
183,Ford Ecosport,16,Comprehensive,Diesel,5,59870,First Owner,Manual,2016,21,1498,1498.0,9896.0,4.95
184,Hyundai i20,16,Comprehensive,Petrol,5,62700,First Owner,Manual,2016,18,1197,1197.0,8183.0,5.22
185,Kia Seltos,19,Third Party insurance,Diesel,5,42132,First Owner,Automatic,2019,17,1493,1493.0,1134.0,14.75
186,Mercedes-Benz CLA,18,Third Party insurance,Petrol,5,32000,First Owner,Automatic,2018,15,1991,1991.0,183.0,25.75
187,Maruti A-Star,10,Comprehensive,Petrol,5,58873,First Owner,Manual,2010,19,998,998.0,661.0,1.82
188,Renault Duster,18,Comprehensive,Petrol,5,10000,First Owner,Automatic,2018,14,1498,1498.0,1045.0,7.95
189,Tata Altroz,23,Comprehensive,Petrol,5,14069,First Owner,Manual,2022,19,1199,1199.0,8683.0,8.24
190,Nissan Terrano,,Third Party insurance,Diesel,5,100000,1461 cc,2014,Power Steering,1461,1085,1085.0,248.0,6.0
191,Renault Duster,14,Third Party insurance,Diesel,5,80000,First Owner,Manual,2014,19,1461,1461.0,10845.0,2.85
192,Honda City,16,Comprehensive,Petrol,5,57453,First Owner,Manual,2016,17,1497,1497.0,1173.0,6.24
193,Ford Figo,11,Comprehensive,Petrol,5,66717,Second Owner,Manual,2011,1196,70,70.0,102.0,70000.0
194,Mercedes-Benz GLS,,Third Party insurance,Diesel,7,40000,Second Owner,Automatic,2016,11,2987,2987.0,258.0,43.33
195,Volvo XC40,22,Zero Dep,Petrol,5,16433,First Owner,Automatic,2022,1969,18740,18740.0,300.0,43.75
196,BMW X1,18,Third Party insurance,Petrol,5,17860,First Owner,Automatic,2018,15,1998,1998.0,189.0,29.9
197,Toyota Innova,20,Comprehensive,Diesel,7,52000,First Owner,Automatic,2020,11,2755,2755.0,1715.0,22.5
198,Mercedes-Benz S-Class,20,Comprehensive,Diesel,5,27200,First Owner,Automatic,2019,13,2925,2925.0,28161.0,77.0
199,Hyundai Grand,14,Comprehensive,Petrol,5,25260,First Owner,Manual,2014,18,1197,1197.0,82.0,4.37
200,BMW 5,20,Zero Dep,Diesel,5,21421,Second Owner,Automatic,2019,20,1995,1995.0,18774.0,45.9
201,Hyundai i10,15,Comprehensive,Petrol,5,70215,First Owner,Manual,2015,20,1197,1197.0,789.0,3.08
202,Hyundai Alcazar,22,Comprehensive,Diesel,6,32900,First Owner,Automatic,2022,23,1493,1493.0,11398.0,20.0
203,Mercedes-Benz C-Class,21,Third Party insurance,Petrol,5,40045,First Owner,Automatic,2021,11,1950,1950.0,20115.0,43.9
204,Maruti A-Star,11,Comprehensive,Petrol,5,75000,First Owner,Manual,2010,19,998,998.0,661.0,1.68
205,Mercedes-Benz C-Class,21,Third Party insurance,Petrol,5,32325,First Owner,Automatic,2019,11,1950,1950.0,20115.0,44.9
206,MG Gloster,21,Third Party insurance,Diesel,6,68000,First Owner,Automatic,2021,12,1996,1996.0,21501.0,33.0
207,Hyundai Grand,15,Comprehensive,Petrol,5,78501,First Owner,Automatic,2015,20,1197,1197.0,8186.0,3.94
208,Land Rover,19,Zero Dep,Petrol,7,46853,First Owner,Automatic,2018,12,1997,1997.0,23736.0,45.9
209,Maruti Baleno,21,Comprehensive,Petrol,5,27114,First Owner,Manual,2021,21,1197,1197.0,8180.0,7.18
210,Hyundai i20,,Third Party insurance,Petrol,5,10000,998 cc,2023,Power Steering,998,11841,11841.0,172.0,11.7
211,Hyundai Creta,17,Third Party insurance,Petrol,5,88000,First Owner,Automatic,2017,13,1591,1591.0,1213.0,8.65
212,Maruti Swift,13,Comprehensive,Petrol,5,58382,First Owner,Manual,2013,19,1197,1197.0,858.0,3.54
213,BMW X1,,Third Party insurance,Diesel,5,30000,1995 cc,2017,Power Steering,1995,188,188.0,400.0,19.5
214,Skoda Rapid,,Third Party insurance,Petrol,5,80000,Second Owner,Manual,2015,15,1598,1598.0,1036.0,3.3
215,Mercedes-Benz C-Class,20,Zero Dep,Petrol,5,32628,First Owner,Automatic,2020,11,1950,1950.0,20115.0,41.9
216,MG Gloster,21,Comprehensive,Diesel,6,35000,First Owner,Automatic,2021,12,1996,1996.0,21501.0,36.0
217,Hyundai Grand,14,Comprehensive,Petrol,5,67264,Second Owner,Manual,2014,1197,82,82.0,114.0,3.27
218,Mercedes-Benz V-Class,19,Zero Dep,Diesel,6,17000,First Owner,Automatic,2019,16,1950,1950.0,16092.0,65.0
219,Maruti Wagon,13,Comprehensive,CNG,5,77584,Second Owner,Manual,2013,26,998,998.0,5816.0,2.8
220,Mercedes-Benz S-Class,16,Comprehensive,Petrol,4,50000,First Owner,Automatic,2016,7,4663,4663.0,459.0,98.5
221,Mahindra Scorpio,,Third Party insurance,Diesel,7,70000,First Owner,Manual,2017,15,2179,2179.0,120.0,9.0
222,Maruti Swift,13,Comprehensive,Petrol,5,71977,Second Owner,Manual,2013,1197,8180,8180.0,113.0,2.94
223,Maruti Ignis,17,Comprehensive,Petrol,5,52690,Second Owner,Manual,2017,20,1197,1197.0,8180.0,4.2
224,Hyundai Creta,22,Comprehensive,Petrol,5,11900,First Owner,Automatic,2022,14,1497,1497.0,11318.0,18.25
225,Hyundai i20,17,Comprehensive,Petrol,5,53747,First Owner,Manual,2017,18,1197,1197.0,8183.0,5.77
226,BMW X3,20,Zero Dep,Diesel,5,32321,First Owner,Automatic,2019,16,1995,1995.0,1877.0,49.9
227,Honda Brio,15,Comprehensive,Petrol,5,55485,First Owner,Manual,2015,19,1198,1198.0,868.0,3.35
